SampleID,Site,DS_SS,PB_QG,end,change.point,p.val,sig,cc,kkt1,kkt2,bases,id,func,p.val.adj,sigM
Hungary_PB_SSL_18427__3_end_prop,Hungary,SS,PB,3,15,2.21E-15,***,0,FALSE,FALSE,A,Hungary_PB_SSL_18427_,3,3.54E-14,Sig
Hungary_PB_SSL_18427__5_end_prop,Hungary,SS,PB,5,4,3.95E-08,***,0,TRUE,FALSE,T,Hungary_PB_SSL_18427_,5,6.33E-07,Sig
Hungary_PB_SSL_18421__3_end_prop,Hungary,SS,PB,3,9,1.33E-09,***,0,TRUE,FALSE,A,Hungary_PB_SSL_18421_,3,2.13E-08,Sig
Hungary_PB_SSL_18421__5_end_prop,Hungary,SS,PB,5,12,8.22E-17,***,0,TRUE,FALSE,T,Hungary_PB_SSL_18421_,5,1.31E-15,Sig
Hungary_QG_DSL_18441_v2_3_end_prop,Hungary,DS,QG,3,12,1.37E-14,***,0,TRUE,FALSE,A,Hungary_QG_DSL_18441_v2,3,2.19E-13,Sig
Hungary_QG_DSL_18441_v2_5_end_prop,Hungary,DS,QG,5,4,3.76E-05,***,0,TRUE,FALSE,T,Hungary_QG_DSL_18441_v2,5,6.01E-04,Sig
Hungary_QG_DSL_18421_v2_3_end_prop,Hungary,DS,QG,3,8,2.43E-08,***,0,FALSE,FALSE,A,Hungary_QG_DSL_18421_v2,3,3.89E-07,Sig
Hungary_QG_DSL_18421_v2_5_end_prop,Hungary,DS,QG,5,4,1.90E-07,***,0,TRUE,FALSE,T,Hungary_QG_DSL_18421_v2,5,3.04E-06,Sig
Hungary_QG_DSL_18427_v2_3_end_prop,Hungary,DS,QG,3,8,2.64E-08,***,0,FALSE,FALSE,A,Hungary_QG_DSL_18427_v2,3,4.22E-07,Sig
Hungary_QG_DSL_18427_v2_5_end_prop,Hungary,DS,QG,5,9,1.23E-08,***,0,TRUE,FALSE,T,Hungary_QG_DSL_18427_v2,5,1.97E-07,Sig
Hungary_QG_SSL_18416_4_3_end_prop,Hungary,SS,QG,3,11,1.02E-11,***,0,TRUE,FALSE,A,Hungary_QG_SSL_18416_4,3,1.64E-10,Sig
Hungary_QG_SSL_18416_4_5_end_prop,Hungary,SS,QG,5,4,2.53E-07,***,0,TRUE,FALSE,T,Hungary_QG_SSL_18416_4,5,4.04E-06,Sig
Hungary_QG_SSL_18421_11_3_end_prop,Hungary,SS,QG,3,8,4.98E-08,***,0,FALSE,FALSE,A,Hungary_QG_SSL_18421_11,3,7.98E-07,Sig
Hungary_QG_SSL_18421_11_5_end_prop,Hungary,SS,QG,5,4,8.35E-07,***,0,TRUE,FALSE,T,Hungary_QG_SSL_18421_11,5,1.34E-05,Sig
Hungary_QG_SSL_18427_3_end_prop,Hungary,SS,QG,3,8,2.38E-08,***,0,FALSE,FALSE,A,SSL18427Hungary7,3,3.81E-07,Sig
Hungary_QG_SSL_18427_5_end_prop,Hungary,SS,QG,5,9,5.80E-09,***,0,TRUE,FALSE,T,SSL18427Hungary7,5,9.29E-08,Sig
